	author	title	journal	year	Volume	issue	page	Freq
540	Teece,D J	Technological Change and the Nature of Firm	 Technical Change and Economic Theroy	New York:Pinter Publishers	NA	NA	NA	1
541	Terras,M_I_	Digital: Personal Collections in the Digital Era	Journal of the Society of Archivists	2012	33	2	NA	1
542	Testa,J_	ISI database:the selection process	2004	NA	NA	NA	NA	1
543	Testa,James	ISI Database:The Journal Selection Process	NA	NA	NA	NA	NA	1
544	The Economist	Third Industrial Revolution Begins: The Gentleman Manufacturer	2015	NA	NA	NA	NA	1
545	The Royal Society	Knowledge, networks and nations: Global international collaboration in the 21st Century	2011	NA	NA	NA	NA	1
546	The Royal Society	Knowledge, Networks and Nations: Global Scientific Collaboration in the 21st century,2011	NA	NA	NA	NA	NA	1
547	Thelander,H_E_	Learning disabilities associated with lesser brain damage	Journal of Pediatrics	1958	53	4	NA	1
548	Thelwall,M_	Link analysis: An information science approach,2004	NA	NA	NA	NA	NA	1
549	Think Tanks and Civil Societies Program	2014 Global Go To Think Tank Index Report	2015	NA	NA	NA	NA	1
550	Timmers,P	Business models for electronic markets	Electronic markets	1998	8	2	NA	1
551	Toffler, A	Third wave	New York:Bantam books	NA	NA	NA	NA	1
552	TSAY,M_	A bibliometric analysis and comparison on three information science journals: JASIST, IPM, JOD, 1998—2008	Scientometrics	2011	89	2	NA	1
553	Tu,Y_N_	Indices of Novelty for Emerging Topic Detection	Information Processing & Management	2012	48	2	NA	1
554	Ujifusa,Andrew	AERA Opens Centennial Meeting With Look at Research’s Political Impact	2016	NA	NA	NA	NA	1
555	van Eck,N_J_	A Comparison of Two Techniques for Bibliometric Mapping: Multidimensional Scaling and VOS	Journal of the American Society for Information Science and Technology	2010	61	12	NA	1
556	van,Eck N_J_	A comparison of two techniques for bibliometric mapping: Multidimensional scaling and VOS	Journal of the American Society for Information Science and Technology	2010	61	12	NA	1
557	Varga,A_	University research and regional innovation	Boston:Kluwer Academic Publishers	NA	NA	NA	NA	1
558	VIDYASAGAR,D_	Global minute: Water and health-walking for water and water wars	Journal of Perinatology	2007	27	1	NA	1
559	Vienna, Austria, R Development Core Team	R: A Language and Environment for Statistical Computing-R Foundation for Statistical Computing	NA	NA	NA	NA	NA	1
560	Volberda,H M	Management innovation: Management as fertile ground for innovation	European Management Review	2013	10	1	NA	1
561	Waaijer,C_J_F_	Careers in science: policy issues according to Nature and Science editorials	Scientometrics	2013	96	2	NA	1
562	Wagner,C_S_	Six case studies of international collaboration in science	Scientometrics	2005	62	1	NA	1
563	Wakefield,E_H_	电动汽车发展史:电池动力车辆	北京:北京理工大学出版社	NA	NA	NA	NA	1
564	Watts,D_J_	Collective dynamics of “small-world” networks	Nature	1998	393	6684	NA	1
565	WETTLER,M_	Computation of word associations based on the co-occurrences of words in large corporation	2010	NA	NA	NA	NA	1
566	Whalley，Jahn	全球化背景下的中国经济问题研究——大洋两岸的对话:经济学家茶座	济南:山东人民出版社,2009:19	NA	NA	NA	NA	1
567	White, H_ D_	Author cocitation-A literature measure of intellectual structure	Journal of the American Society for Information Science	1981	32	3	NA	1
568	WHITE,H_D_	Authors as citers over time	Journal of the American Society for Information Science and Technology	2001	52	2	NA	1
569	White,R_W_	Exploratory search interfaces: categorization, clustering and beyond: report on the XSI 2005 workshop at the Human-Computer Interaction Laboratory	University of Maryland SIGIR Forum	2(39)	NA	NA	NA	1
570	Whitehead,A	 N	Aims of Education and Other Essays	New York:Macmillan Company	NA	NA	NA	1
571	WICKHAM,P A	Strategic Entrepreneurship: A Decision-Making Approach to New Venture Creation and Management	London:Pitman Publishing	NA	NA	NA	NA	1
572	Wilson,L_	Innovation today, Success Tomorrow	2016	NA	NA	NA	NA	1
573	Wilson,T_D_	Human Information Behavior	Informing Science	2000	3	2	NA	1
